"ExpenditureDate","ExpenditureAmount","AmendmentType","EntityName","FirstName","MiddleName","LastName","NameSuffix","Address1","Address2","City","State","Zip","ExpenditureType","PurposeOfExpense",
6/15/2013 12:00:00 AM,500.0000,,"Patriot Games, Inc.","","","","","120 S. Dixie Highway","Suite 202","West Palm Beach","FL","33401","MON","Consulting",
"ExpenditureDate","ExpenditureAmount","AmendmentType","EntityName","FirstName","MiddleName","LastName","NameSuffix","Address1","Address2","City","State","Zip","ExpenditureType","PurposeOfExpense",
7/11/2013 12:00:00 AM,100.0000,,"BSE","","","","","178 Seashore Drive","","Jupiter","FL","33477","MON","Graphic Artist",
7/27/2013 12:00:00 AM,175.0000,,"BSE","","","","","178 Seashore Drive","","Jupiter","FL","33477","MON","Graphic Artist",
8/1/2013 12:00:00 AM,1500.0000,,"Patriot Games","","","","","120 S.Dixie Highway","","West Palm Beach","FL","33401","MON","Consulting fee",
9/19/2013 12:00:00 AM,46.5400,,"Office Depot","","","","","2677 Okeechobee Blvd.","","West Palm Beach","FL","33409","MON","Office Supplies",
8/28/2013 12:00:00 AM,17.0000,,"Gabriels Cafe","","","","","12793-G Forest Hill Blvd.","","Wellington","FL","33414","MON","Campaign meeting",
8/17/2013 12:00:00 AM,54.8400,,"Chevron","","","","","1350 Greenview Shores","","Wellington","FL","33414","MON","Gas",
8/20/2013 12:00:00 AM,3.0000,,"One Parking CP","","","","","700 S. Rosemary Avenue","","West Palm Beach","FL","33401","MON","Parking",
8/12/2013 12:00:00 AM,66.0000,,"City Cellar","","","","","700 S. Rosemary Avenue","","West Palm Beach","FL","33401","MON","Campaign lunch",
9/3/2013 12:00:00 AM,16.0000,,"Cafe 52","","","","","12785 W. Forest Hill Boulevard","","Wellington","FL","33414","MON","Campaign meeting",
9/3/2013 12:00:00 AM,2.2800,,"Starbucks","","","","","228 Clematis Street","","West Palm Beach","FL","33401","MON","Campaign meeting",
8/8/2013 12:00:00 AM,61.9200,,"South Shore Shell","","","","","12888 South Shore Blvd.","","Wellington","FL","33414","MON","Gas",
8/1/2013 12:00:00 AM,200.0000,,"Binks Forest County Club","","","","","400 Binks Forest Drive","","Wellngton","FL","33414","MON","Event deposit",
8/29/2013 12:00:00 AM,256.1100,,"Preferred Printing","","","","","711 Northlake Boulevard","","North Palm Beach","FL","33408","MON","Printing",
9/19/2013 12:00:00 AM,1545.8200,,"Binks Forest Country Club","","","","","400 Binks Forest Drive","","Wellington","FL","33414","MON","Campaign Event",
8/28/2013 12:00:00 AM,30.0000,,"Office Depot","","","","","2677 Okeechobee Boulevard","","West Palm Beach","FL","33409","MON","Office Supplies",
7/12/2013 12:00:00 AM,56.0000,,"Chilis","","","","","4252 Okeechobee Blvd.","","West Palm Beach","FL","33409","MON","Campaign meeting",
7/13/2013 12:00:00 AM,48.0000,,"Brio","","","","","550 S. Rosemary Avenue","","West Palm Beach","Fl","33401","MON","Campaign meeting",
7/16/2013 12:00:00 AM,23.0000,,"The Grille","","","","","12300 Southshore Boulevard","","Wellington","FL","33414","MON","Campaign meeting",
7/16/2013 12:00:00 AM,39.0000,,"Callaros ","","","","","264 S. Ocean Boulevard","","Manalapan","FL","33462","MON","Campaign meeting",
8/2/2013 12:00:00 AM,36.0000,,"Cafe 52","","","","","12785 W. Forest Hill Blvd.","","Wellington","FL","33414","MON","Campaign meeting",
7/11/2013 12:00:00 AM,239.8300,,"Preferred Printing","","","","","791 Northlake Boulevard","","North Palm Beach","Fl","33408","MON","Printing",
7/11/2013 12:00:00 AM,37.0000,,"3 G's Gourmet Deli","","","","","5869 W. Atlantic Avenue","","Delray Beach","FL","33444","MON","Campaign meeting",
8/26/2013 12:00:00 AM,42.0000,,"Outback Steakhouse","","","","","1300 Linton Boulevard","","Delray Beach","FL","33444","MON","Campaign meeting",
8/30/2013 12:00:00 AM,17.0000,,"Duffy's","","","","","11935 Southern Boulevard","","Royal Palm Beach","FL","33411","MON","Campaign meeting",
9/3/2013 12:00:00 AM,55.1600,,"Costco","","","","","11001 Southern Boulevard","","Royal Palm Beach","FL","33411","MON","Gas",
9/24/2013 12:00:00 AM,27.0000,,"Cheddars","","","","","925 State Road 7","","Wellington","FL","33321","MON","Campaign meeting",
9/16/2013 12:00:00 AM,34.0000,,"Trees Wings","","","","","603 Royal Palm Beach Boulevard","","Royal Palm Beach","FL","33414","MON","Meeting",
"ExpenditureDate","ExpenditureAmount","AmendmentType","EntityName","FirstName","MiddleName","LastName","NameSuffix","Address1","Address2","City","State","Zip","ExpenditureType","PurposeOfExpense",
9/15/2013 12:00:00 AM,550.0000,"ADD","Palm Beach County Dem. Party","","","","","8401 Lake Worth Road","","Lake Worth","FL","33467","MON","Ticket & Ad",
9/21/2013 12:00:00 AM,175.0000,"ADD","Together We Stand","","","","","P.O. Box 8406","","West Palm Beach","FL","33407","MON","Ticket & Ad",
"ExpenditureDate","ExpenditureAmount","AmendmentType","EntityName","FirstName","MiddleName","LastName","NameSuffix","Address1","Address2","City","State","Zip","ExpenditureType","PurposeOfExpense",
10/1/2013 12:00:00 AM,136.8500,,"Preferred Printing","","","","","791 Northlake Boulevard","","North Palm Beach","FL","33408","MON","Printing",
10/1/2013 12:00:00 AM,1500.0000,,"Patriot Games","","","","","120 S. Dixie Highway","Suite 202","West Palm Beach","FL","33401","MON","Consulting",
