CycleDate,lastname,firstname,link,id,CycleName,electionlink,OfficeTitle,NumReports
11/04/2008,Aaronson,Burt,CFCandidateElections.aspx?cand_id=69,69,2008 Election Cycle,CFElectionFilings.aspx?elect_id=75&office_id=135&cand_id=69,"County Commissioner, Dist. 5",11
11/02/2010,Abrams,Steven,CFCandidateElections.aspx?cand_id=550,550,2010 Election Cycle,CFElectionFilings.aspx?elect_id=98&office_id=141&cand_id=550,"County Commissioner, Dist. 4",6
11/04/2014,Abrams,Steven,CFCandidateElections.aspx?cand_id=550,550,2014 Election Cycle,CFElectionFilings.aspx?elect_id=123&office_id=141&cand_id=550,"County Commissioner, Dist. 4",23
11/02/2010,Abrams,William,CFCandidateElections.aspx?cand_id=1787,1787,2010 Election Cycle,CFElectionFilings.aspx?elect_id=98&office_id=150&cand_id=1787,"School Board, Dist. 7",4
11/02/2010,Adams,John,CFCandidateElections.aspx?cand_id=1797,1797,2010 Election Cycle,CFElectionFilings.aspx?elect_id=98&office_id=146&cand_id=1797,"School Board, Dist. 3",7
11/06/2012,Amero,Daniel,CFCandidateElections.aspx?cand_id=1001,1001,2012 Election Cycle,CFElectionFilings.aspx?elect_id=118&office_id=136&cand_id=1001,"County Commissioner, Dist. 1",10
11/04/2008,Anderson,Arthur,CFCandidateElections.aspx?cand_id=62,62,2008 Election Cycle,CFElectionFilings.aspx?elect_id=75&office_id=134&cand_id=62,Supervisor of Elections,7
11/06/2012,Anderson,Joseph,CFCandidateElections.aspx?cand_id=2100,2100,2012 Election Cycle,CFElectionFilings.aspx?elect_id=118&office_id=213&cand_id=2100,Port of Palm Beach Group 1,6
11/08/2016,Anderson,Joseph,CFCandidateElections.aspx?cand_id=2100,2100,2016 Election Cycle,CFElectionFilings.aspx?elect_id=140&office_id=214&cand_id=2100,Port of Palm Beach Group 2,1
11/04/2014,Anderson,Rubin,CFCandidateElections.aspx?cand_id=2341,2341,2014 Election Cycle,CFElectionFilings.aspx?elect_id=123&office_id=8&cand_id=2341,Governor,0
11/08/2016,Anderson,Rubin,CFCandidateElections.aspx?cand_id=2341,2341,2016 Election Cycle,CFElectionFilings.aspx?elect_id=140&office_id=139&cand_id=2341,"County Commissioner, Dist. 7",8
11/02/2010,Andrews,Marcia,CFCandidateElections.aspx?cand_id=1663,1663,2010 Election Cycle,CFElectionFilings.aspx?elect_id=98&office_id=149&cand_id=1663,"School Board, Dist. 6",20
11/04/2014,Andrews,Marcia,CFCandidateElections.aspx?cand_id=1663,1663,2014 Election Cycle,CFElectionFilings.aspx?elect_id=123&office_id=149&cand_id=1663,"School Board, Dist. 6",27
11/04/2014,Argue,Betty,CFCandidateElections.aspx?cand_id=2495,2495,2014 Election Cycle,CFElectionFilings.aspx?elect_id=123&office_id=242&cand_id=2495,Indian Trail Improvement District Seat 5,20
11/06/2012,Bailey,Rosetta,CFCandidateElections.aspx?cand_id=2005,2005,2012 Election Cycle,CFElectionFilings.aspx?elect_id=118&office_id=148&cand_id=2005,"School Board, Dist. 5",5
11/02/2010,Bair,Ralph,CFCandidateElections.aspx?cand_id=790,790,2010 Election Cycle,CFElectionFilings.aspx?elect_id=98&office_id=240&cand_id=790,Indian Trail Improvement District Seat 3,9
11/04/2014,Bair,Ralph,CFCandidateElections.aspx?cand_id=790,790,2014 Election Cycle,CFElectionFilings.aspx?elect_id=123&office_id=240&cand_id=790,Indian Trail Improvement District Seat 3,16
11/04/2014,Ballweg,Alan,CFCandidateElections.aspx?cand_id=2497,2497,2014 Election Cycle,CFElectionFilings.aspx?elect_id=123&office_id=240&cand_id=2497,Indian Trail Improvement District Seat 3,19
11/02/2010,Bantel,Charles,CFCandidateElections.aspx?cand_id=1023,1023,2010 Election Cycle,CFElectionFilings.aspx?elect_id=98&office_id=216&cand_id=1023,Port of Palm Beach Group 4,4
